Epoch       train_loss          val_loss
1       21.228519368563678  5.677458871739747
2       6.316332319949535   5.552316129111319
3       6.1211299831678145  5.363625243715401
4       5.871346231124848   5.261758676060567
5       5.649459221261613   4.721123331775573
6       5.430931385296687   4.63335738428575
7       5.345194986871871   4.571333881726365
8       5.22703540498099    4.47179726059872
9       5.149412690152052   4.344564584229797
10      5.38318208995594    4.718949815953491
11      5.275980097066964   4.602968358454296
12      5.242151729258163   4.40908685023257
13      5.155685262477144   4.425996380206649
14      5.0895339832776285  4.417438309104069
15      5.07292835601755    4.408876130191883
16      4.982876456337233   4.317425735162417
17      4.941027663777829   4.26003495633891
18      4.905035952188983   4.31582674244494
19      4.887240341023274   4.201081130346689
20      4.833723789949251   4.210696309371603
21      4.803577744810909   4.2180881192110276
22      4.770658799366056   4.16285480532392

